Age_yrBP,CO2_ppm,Source_ice,Date,co2_ppm,Source
16,378.7,Law Dome,1958-03-15,315.71,Mauna Loa
17,376.7,Law Dome,1958-04-15,317.45,Mauna Loa
18,374.7,Law Dome,1958-05-15,317.51,Mauna Loa
19,372.8,Law Dome,1958-07-15,315.86,Mauna Loa
20,370.5,Law Dome,1958-08-15,314.93,Mauna Loa
21,368.3,Law Dome,1958-09-15,313.21,Mauna Loa
22,366.8,Law Dome,1958-11-15,313.33,Mauna Loa
23,365.5,Law Dome,1958-12-15,314.67,Mauna Loa
24,363.6,Law Dome,1959-01-15,315.58,Mauna Loa
25,361.1,Law Dome,1959-02-15,316.49,Mauna Loa
25,359.5,Law Dome,1959-03-15,316.65,Mauna Loa
26,359.8,Law Dome,1959-04-15,317.72,Mauna Loa
27,358.3,Law Dome,1959-05-15,318.29,Mauna Loa
28,356.9,Law Dome,1959-06-15,318.15,Mauna Loa
28,356.3,Law Dome,1959-07-15,316.54,Mauna Loa
29,354.9,Law Dome,1959-08-15,314.8,Mauna Loa
30,353.6,Law Dome,1959-09-15,313.84,Mauna Loa
30,354.1,Law Dome,1959-10-15,313.34,Mauna Loa
31,352.6,Law Dome,1959-11-15,314.81,Mauna Loa
32,351,Law Dome,1959-12-15,315.58,Mauna Loa
32,349.7,Law Dome,1960-01-15,316.43,Mauna Loa
33,349.5,Law Dome,1960-02-15,316.98,Mauna Loa
34,348.3,Law Dome,1960-03-15,317.58,Mauna Loa
35,346.1,Law Dome,1960-04-15,319.03,Mauna Loa
36,344.5,Law Dome,1960-05-15,320.04,Mauna Loa
37,343.2,Law Dome,1960-06-15,319.59,Mauna Loa
38,341.8,Law Dome,1960-07-15,318.18,Mauna Loa
38,341.2,Law Dome,1960-08-15,315.9,Mauna Loa
39,340.1,Law Dome,1960-09-15,314.17,Mauna Loa
40,338.1,Law Dome,1960-10-15,313.83,Mauna Loa
41,337.6,Law Dome,1960-11-15,315,Mauna Loa
42,336.6,Law Dome,1960-12-15,316.19,Mauna Loa
43,332,Law Dome,1961-01-15,316.89,Mauna Loa
43,335.2,Law Dome,1961-02-15,317.7,Mauna Loa
43,335.3,Law Dome,1961-03-15,318.54,Mauna Loa
44,333.5,Law Dome,1961-04-15,319.48,Mauna Loa
45,331.7,Law Dome,1961-05-15,320.58,Mauna Loa
46,331.2,Law Dome,1961-06-15,319.77,Mauna Loa
